DrugGEN_MOL_ID,DOCKING_SCORE
MOL_02_037364,-8.708
MOL_02_012519,-8.706
MOL_01_025977,-8.705
MOL_01_032791,-8.704
MOL_02_009118,-8.704
MOL_01_030503,-8.703
MOL_02_037181,-8.703
MOL_02_006089,-8.701
MOL_01_029870,-8.698
MOL_02_008276,-8.695
MOL_01_024684,-8.695
MOL_01_031846,-8.692
MOL_02_006414,-8.692
MOL_02_002512,-8.689
MOL_02_003840,-8.685
MOL_02_030032,-8.682
MOL_02_024562,-8.681
MOL_02_010044,-8.672
MOL_02_024911,-8.671
MOL_01_030722,-8.671
MOL_02_012478,-8.667
MOL_02_009513,-8.666
MOL_01_028731,-8.663
MOL_02_003729,-8.662
MOL_02_001241,-8.661
MOL_02_024667,-8.661
MOL_01_026671,-8.659
MOL_01_026739,-8.659
MOL_02_003185,-8.657
MOL_02_009376,-8.657
MOL_02_009709,-8.657
MOL_01_028398,-8.657
MOL_02_033019,-8.656
MOL_02_017408,-8.656
MOL_02_009039,-8.655
MOL_02_004488,-8.655
MOL_02_005986,-8.655
MOL_02_032659,-8.649
MOL_01_028122,-8.648
MOL_01_027226,-8.648
MOL_01_030805,-8.646
MOL_01_029349,-8.646
MOL_02_008513,-8.645
MOL_02_026782,-8.645
MOL_02_012769,-8.645
MOL_01_027235,-8.644
MOL_02_009583,-8.64
MOL_01_027891,-8.637
MOL_02_017697,-8.634
MOL_02_017351,-8.634
MOL_02_031343,-8.633
MOL_02_009586,-8.631
MOL_01_027742,-8.628
MOL_02_006423,-8.627
MOL_02_012141,-8.624
MOL_01_026276,-8.621
MOL_01_026502,-8.621
MOL_02_009865,-8.619
MOL_02_022164,-8.614
MOL_01_026837,-8.614
MOL_02_018577,-8.613
MOL_02_005593,-8.612
MOL_02_009860,-8.61
MOL_02_009261,-8.606
MOL_02_009417,-8.605
MOL_01_026769,-8.604
MOL_02_003696,-8.603
MOL_02_022901,-8.599
MOL_01_031259,-8.598
MOL_02_032273,-8.596
MOL_02_031989,-8.596
MOL_02_000367,-8.592
MOL_02_036859,-8.591
MOL_02_017028,-8.591
MOL_02_010057,-8.589
MOL_02_036190,-8.589
MOL_01_027504,-8.589
MOL_01_032820,-8.589
MOL_02_009377,-8.586
MOL_02_014191,-8.586
MOL_02_006805,-8.584
MOL_02_009356,-8.58
MOL_01_029583,-8.579
MOL_02_009468,-8.578
MOL_01_027192,-8.578
MOL_01_031146,-8.578
MOL_02_008292,-8.575
MOL_02_013262,-8.575
MOL_01_025201,-8.575
MOL_02_016956,-8.57
MOL_02_004139,-8.57
MOL_02_002950,-8.569
MOL_01_026980,-8.568
MOL_02_002756,-8.566
MOL_02_036005,-8.565
MOL_02_009605,-8.564
MOL_01_029868,-8.564
MOL_02_015566,-8.564
MOL_01_029054,-8.563
MOL_01_027978,-8.563
MOL_02_024465,-8.562
MOL_02_006930,-8.562
MOL_02_031030,-8.562
MOL_02_016269,-8.561
MOL_01_032199,-8.56
MOL_02_034559,-8.56
MOL_02_032144,-8.558
MOL_02_025252,-8.557
MOL_02_009503,-8.554
